"< ","up to "
"(Tracking Code Reserved)","(Tracking Code Reserved)"
"6 digits. See Mondial Relay website for pick-up codes","6 digits. See <a href='http://www.mondialrelay.fr' target='_blank'>Mondial Relay website</a> for pick-up codes"
"A4","A4"
"A5","A5"
"Access Map","Access Map"
"Active","Active"
"Add order weight to shipping method title","Add order weight to shipping method title"
"Allowed Methods","Allowed Methods"
"An error has occurred during labels recovery (%s)","An error has occurred during labels recovery (%s)"
"An error has occurred during labels recovery. Please contact Mondial Relay or try again later.","An error has occurred during labels recovery. Please contact Mondial Relay or try again later."
"As displayed on the front-end","As displayed on the front-end"
"AS400 Unavailability","AS400 Unavailability"
"At pick-up","At pick-up"
"At sender's address / Mondial Relay agency","At sender's address / Mondial Relay agency"
"Bad Base Company Type","Bad Base Company Type"
"Banned Items","Banned items for this shipping method"
"Carrier Title","Generic Carrier Title"
"Cart Value","Cart Value"
"Catalog Weight Unit","Catalog weight unit"
"City List","City List"
"Click to select your pick-up location","Click to select your pick-up location"
"Close this window","Close this window"
"Closed","Closed"
"Colis-Drive Delivery Enabled","Colis-Drive Delivery Enabled"
"Collection pick-up code","Collection pick-up code"
"Comfort Method Enabled","Comfort Method Enabled"
"Comma-separated ID values","Comma-separated ID values"
"Company Name","Company Name"
"Company Reference (Tracking)","Company Reference (Tracking)"
"Company Reference (Web service)","Company Reference (Web service)"
"Country","Country"
"Debug Mode","Debug Mode"
"Default Developed Length (cm)","Default Developed Length (cm)"
"Description","Description"
"Disabled Company Account","Disabled Company Account"
"Displayed Error Message","Displayed Error Message"
"Drive-Pickup Delivery","Drive-Pickup Delivery"
"Drive-Pickup Delivery Enabled","Drive-Pickup Delivery Enabled"
"Error in table rates line %s: %s fields found!","Error in table rates line %s: %s fields found!"
"Error in table rates line %s: value %s is not valid","Error in table rates line %s: value %s is not valid"
"Exhausted Delivery Number Range","Exhausted Delivery Number Range"
"Extra Fee","Extra Fee"
"Friday","Friday"
"Gram","Gram"
"%sh%s","%sh%s"
"Handling Fee","Handling Fee"
"Handling Fee Calculation Method","Handling Fee Calculation Method"
"Home Delivery and Installation on Appointment","Home delivery and installation on appointment"
"Home Delivery on Appointment","Home Delivery on Appointment"
"If enabled, log file is located at /var/log/man4x_mondialrelay_debug.log","If enabled, log file is located at /var/log/man4x_mondialrelay_debug.log"
"If enabled, the [SHIP] button on the order page and the [Create shipment] checkbox when invoicing will trigger a web service registration for the parcel.","If enabled, the [SHIP] button on the order page and the [Create shipment] checkbox when invoicing will trigger a web service registration for the parcel."
"If yes, pick-up is selected on a map. If no, pick-up is selected in a list. Warning: list-selection will increase the sales_flat_quote_shipping_rate table size much quicker","If yes, pick-up is selected on a map. If no, pick-up is selected in a list.<br />Warning: list-selection will increase the sales_flat_quote_shipping_rate table size much quicker!"
"Info","Info"
"Invalid %s \"%s\" in the Row #%s","Invalid %s \"%s\" in the Row #%s"
"Invalid Address","Invalid Address"
"Invalid Appointment Top","Invalid Appointment Top"
"Invalid Insurance","Invalid Insurance"
"Invalid City","Invalid City"
"Invalid COD Amount","Invalid COD Amount"
"Invalid COD Currency","Invalid COD Currency"
"Invalid Collection Mode","Invalid Collection Mode"
"Invalid Collection or Delivery Mode","Invalid Collection or Delivery Mode"
